title,author,rank,date
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-01-23
THE LAST THING HE TOLD ME,by Laura Dave,5,2022-01-23
THE JUDGE'S LIST,by John Grisham,6,2022-01-23
WISH YOU WERE HERE,by Jodi Picoult,7,2022-01-23
THE MAID,by Nita Prose,8,2022-01-23
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,9,2022-01-23
CLOUD CUCKOO LAND,by Anthony Doerr,10,2022-01-23
RECKLESS GIRLS,by Rachel Hawkins,11,2022-01-23
THE WISH,by Nicholas Sparks,12,2022-01-23
STAR WARS: THE FALLEN STAR,by Claudia Gray,13,2022-01-23
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,14,2022-01-23
THE SCHOOL FOR GOOD MOTHERS,by Jessamine Chan,15,2022-01-23
TO PARADISE,by Hanya Yanagihara,1,2022-01-30
THE MAID,by Nita Prose,2,2022-01-30
SOMETHING TO HIDE,by Elizabeth George,3,2022-01-30
THE HORSEWOMAN,by James Patterson and Mike Lupica,4,2022-01-30
THE LINCOLN HIGHWAY,by Amor Towles,5,2022-01-30
THE LAST THING HE TOLD ME,by Laura Dave,6,2022-01-30
THE MIDNIGHT LIBRARY,by Matt Haig,7,2022-01-30
THE JUDGE'S LIST,by John Grisham,8,2022-01-30
A FLICKER IN THE DARK,by Stacy Willingham,9,2022-01-30
WISH YOU WERE HERE,by Jodi Picoult,10,2022-01-30
INVISIBLE,by Danielle Steel,11,2022-01-30
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,12,2022-01-30
CALL US WHAT WE CARRY,by Amanda Gorman,13,2022-01-30
CLOUD CUCKOO LAND,by Anthony Doerr,14,2022-01-30
OLGA DIES DREAMING,by Xochitl Gonzalez,15,2022-01-30
THE MIDNIGHT LIBRARY,by Matt Haig,1,2022-02-06
THE MAID,by Nita Prose,2,2022-02-06
THE LINCOLN HIGHWAY,by Amor Towles,3,2022-02-06
THE HORSEWOMAN,by James Patterson and Mike Lupica,4,2022-02-06
ONE STEP TOO FAR,by Lisa Gardner,5,2022-02-06
THE LAST THING HE TOLD ME,by Laura Dave,6,2022-02-06
THE JUDGE'S LIST,by John Grisham,7,2022-02-06
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,8,2022-02-06
WISH YOU WERE HERE,by Jodi Picoult,9,2022-02-06
TO PARADISE,by Hanya Yanagihara,10,2022-02-06
CALL US WHAT WE CARRY,by Amanda Gorman,11,2022-02-06
CLOUD CUCKOO LAND,by Anthony Doerr,12,2022-02-06
SOMETHING TO HIDE,by Elizabeth George,13,2022-02-06
THE WISH,by Nicholas Sparks,14,2022-02-06
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,15,2022-02-06
THE MAID,by Nita Prose,1,2022-02-13
THE MIDNIGHT LIBRARY,by Matt Haig,2,2022-02-13
THE LINCOLN HIGHWAY,by Amor Towles,3,2022-02-13
THE HORSEWOMAN,by James Patterson and Mike Lupica,4,2022-02-13
THE LAST THING HE TOLD ME,by Laura Dave,5,2022-02-13
THE JUDGE'S LIST,by John Grisham,6,2022-02-13
DEVIL HOUSE,by John Darnielle,7,2022-02-13
VIOLETA,by Isabel Allende,8,2022-02-13
THE MAGNOLIA PALACE,by Fiona Davis,9,2022-02-13
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,10,2022-02-13
WISH YOU WERE HERE,by Jodi Picoult,11,2022-02-13
CLOUD CUCKOO LAND,by Anthony Doerr,12,2022-02-13
CALL US WHAT WE CARRY,by Amanda Gorman,13,2022-02-13
THE WISH,by Nicholas Sparks,14,2022-02-13
ONE STEP TOO FAR,by Lisa Gardner,15,2022-02-13
THE MIDNIGHT LIBRARY,by Matt Haig,1,2022-02-20
BLACK CAKE,by Charmaine Wilkerson,2,2022-02-20
THE MAID,by Nita Prose,3,2022-02-20
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-02-20
THE CHRISTIE AFFAIR,by Nina de Gramont,5,2022-02-20
THE LAST THING HE TOLD ME,by Laura Dave,6,2022-02-20
THE JUDGE'S LIST,by John Grisham,7,2022-02-20
THE HORSEWOMAN,by James Patterson and Mike Lupica,8,2022-02-20
WISH YOU WERE HERE,by Jodi Picoult,9,2022-02-20
THE BOOKS OF JACOB,by Olga Tokarczuk,10,2022-02-20
ONE STEP TOO FAR,by Lisa Gardner,11,2022-02-20
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,12,2022-02-20
RECITATIF,by Toni Morrison,13,2022-02-20
DEVIL HOUSE,by John Darnielle,14,2022-02-20
CLOUD CUCKOO LAND,by Anthony Doerr,15,2022-02-20
ABANDONED IN DEATH,by J.D. Robb,1,2022-02-27
THE MIDNIGHT LIBRARY,by Matt Haig,2,2022-02-27
THE LAST THING HE TOLD ME,by Laura Dave,3,2022-02-27
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-02-27
THE MAID,by Nita Prose,5,2022-02-27
THE CHRISTIE AFFAIR,by Nina de Gramont,6,2022-02-27
CITY OF THE DEAD,by Jonathan Kellerman,7,2022-02-27
THE JUDGE'S LIST,by John Grisham,8,2022-02-27
THE HORSEWOMAN,by James Patterson and Mike Lupica,9,2022-02-27
WISH YOU WERE HERE,by Jodi Picoult,10,2022-02-27
THE LADY'S MINE,by Francine Rivers,11,2022-02-27
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,12,2022-02-27
CLOUD CUCKOO LAND,by Anthony Doerr,13,2022-02-27
BLACK CAKE,by Charmaine Wilkerson,14,2022-02-27
ONE STEP TOO FAR,by Lisa Gardner,15,2022-02-27
HOUSE OF SKY AND BREATH,by Sarah J. Maas,1,2022-03-06
DIABLO MESA,by Douglas Preston and Lincoln Child,2,2022-03-06
THE MIDNIGHT LIBRARY,by Matt Haig,3,2022-03-06
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-03-06
ABANDONED IN DEATH,by J.D. Robb,5,2022-03-06
SIERRA SIX,by Mark Greaney,6,2022-03-06
THE LAST THING HE TOLD ME,by Laura Dave,7,2022-03-06
THE MAID,by Nita Prose,8,2022-03-06
THE CHRISTIE AFFAIR,by Nina de Gramont,9,2022-03-06
"MOON WITCH, SPIDER KING",by Marlon James,10,2022-03-06
THE JUDGE'S LIST,by John Grisham,11,2022-03-06
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,12,2022-03-06
WISH YOU WERE HERE,by Jodi Picoult,13,2022-03-06
GWENDY'S FINAL TASK,by Stephen King and Richard Chizmar,14,2022-03-06
DAWNSHARD,by Brandon Sanderson,15,2022-03-06
THE PARIS APARTMENT,by Lucy Foley,1,2022-03-13
HOUSE OF SKY AND BREATH,by Sarah J. Maas,2,2022-03-13
THE MIDNIGHT LIBRARY,by Matt Haig,3,2022-03-13
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-03-13
THE MAID,by Nita Prose,5,2022-03-13
THE LAST THING HE TOLD ME,by Laura Dave,6,2022-03-13
THE JUDGE'S LIST,by John Grisham,7,2022-03-13
THE CHRISTIE AFFAIR,by Nina de Gramont,8,2022-03-13
ABANDONED IN DEATH,by J.D. Robb,9,2022-03-13
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,10,2022-03-13
WISH YOU WERE HERE,by Jodi Picoult,11,2022-03-13
NOTHING TO LOSE,by J.A. Jance,12,2022-03-13
CARAMEL PECAN ROLL MURDER,by Joanne Fluke,13,2022-03-13
CLOUD CUCKOO LAND,by Anthony Doerr,14,2022-03-13
BLACK CAKE,by Charmaine Wilkerson,15,2022-03-13
THE PARIS APARTMENT,by Lucy Foley,1,2022-03-20
ONE ITALIAN SUMMER,by Rebecca Serle,2,2022-03-20
THE ATLAS SIX,by Olivie Blake,3,2022-03-20
HOUSE OF SKY AND BREATH,by Sarah J. Maas,4,2022-03-20
THE CLUB,by Ellery Lloyd,5,2022-03-20
THE MIDNIGHT LIBRARY,by Matt Haig,6,2022-03-20
THE MAID,by Nita Prose,7,2022-03-20
THE LINCOLN HIGHWAY,by Amor Towles,8,2022-03-20
THE LAST THING HE TOLD ME,by Laura Dave,9,2022-03-20
THE LOVE OF MY LIFE,by Rosie Walsh,10,2022-03-20
THE CHRISTIE AFFAIR,by Nina de Gramont,11,2022-03-20
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,12,2022-03-20
ABANDONED IN DEATH,by J.D. Robb,13,2022-03-20
THE JUDGE'S LIST,by John Grisham,14,2022-03-20
BLACK CAKE,by Charmaine Wilkerson,15,2022-03-20
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,1,2022-03-27
SHADOWS REEL,by C.J. Box,2,2022-03-27
THE PARIS APARTMENT,by Lucy Foley,3,2022-03-27
THE GOLDEN COUPLE,by Greer Hendricks and Sarah Pekkanen,4,2022-03-27
HIGH STAKES,by Danielle Steel,5,2022-03-27
ONE ITALIAN SUMMER,by Rebecca Serle,6,2022-03-27
THE LIGHTNING ROD,by Brad Meltzer,7,2022-03-27
THE MIDNIGHT LIBRARY,by Matt Haig,8,2022-03-27
HOUSE OF SKY AND BREATH,by Sarah J. Maas,9,2022-03-27
THE CLUB,by Ellery Lloyd,10,2022-03-27
THE LINCOLN HIGHWAY,by Amor Towles,11,2022-03-27
THE MAID,by Nita Prose,12,2022-03-27
THE ATLAS SIX,by Olivie Blake,13,2022-03-27
THE LAST THING HE TOLD ME,by Laura Dave,14,2022-03-27
THE LOVE OF MY LIFE,by Rosie Walsh,15,2022-03-27
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,1,2022-04-03
THE MATCH,by Harlan Coben,2,2022-04-03
SHADOWS REEL,by C.J. Box,3,2022-04-03
THE PARIS APARTMENT,by Lucy Foley,4,2022-04-03
ONE ITALIAN SUMMER,by Rebecca Serle,5,2022-04-03
THE LIGHTNING ROD,by Brad Meltzer,6,2022-04-03
THE MIDNIGHT LIBRARY,by Matt Haig,7,2022-04-03
THE ATLAS SIX,by Olivie Blake,8,2022-04-03
THE BOOK OF COLD CASES,by Simone St. James,9,2022-04-03
HIGH STAKES,by Danielle Steel,10,2022-04-03
HOUSE OF SKY AND BREATH,by Sarah J. Maas,11,2022-04-03
THE CLUB,by Ellery Lloyd,12,2022-04-03
THE LINCOLN HIGHWAY,by Amor Towles,13,2022-04-03
THE LOVE OF MY LIFE,by Rosie Walsh,14,2022-04-03
THE MAID,by Nita Prose,15,2022-04-03
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,1,2022-04-10
THE RECOVERY AGENT,by Janet Evanovich,2,2022-04-10
THE PARIS APARTMENT,by Lucy Foley,3,2022-04-10
FRENCH BRAID,by Anne Tyler,4,2022-04-10
THE MATCH,by Harlan Coben,5,2022-04-10
SHADOWS REEL,by C.J. Box,6,2022-04-10
A SUNLIT WEAPON,by Jacqueline Winspear,7,2022-04-10
ONE ITALIAN SUMMER,by Rebecca Serle,8,2022-04-10
THE MIDNIGHT LIBRARY,by Matt Haig,9,2022-04-10
THE LIGHTNING ROD,by Brad Meltzer,10,2022-04-10
A SAFE HOUSE,by Stuart Woods,11,2022-04-10
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-04-10
THE LINCOLN HIGHWAY,by Amor Towles,13,2022-04-10
HOUSE OF SKY AND BREATH,by Sarah J. Maas,14,2022-04-10
THE CLUB,by Ellery Lloyd,15,2022-04-10
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,1,2022-04-17
WHAT HAPPENED TO THE BENNETTS,by Lisa Scottoline,2,2022-04-17
THE DIAMOND EYE,by Kate Quinn,3,2022-04-17
THE PARIS APARTMENT,by Lucy Foley,4,2022-04-17
THE RECOVERY AGENT,by Janet Evanovich,5,2022-04-17
ONE ITALIAN SUMMER,by Rebecca Serle,6,2022-04-17
FRENCH BRAID,by Anne Tyler,7,2022-04-17
THE MIDNIGHT LIBRARY,by Matt Haig,8,2022-04-17
SHADOWS REEL,by C.J. Box,9,2022-04-17
THE MATCH,by Harlan Coben,10,2022-04-17
THE LINCOLN HIGHWAY,by Amor Towles,11,2022-04-17
THE MAID,by Nita Prose,12,2022-04-17
THE LAST THING HE TOLD ME,by Laura Dave,13,2022-04-17
HOUSE OF SKY AND BREATH,by Sarah J. Maas,14,2022-04-17
THE CLUB,by Ellery Lloyd,15,2022-04-17
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,1,2022-04-24
SEA OF TRANQUILITY,by Emily St. John Mandel,2,2022-04-24
TIME IS A MOTHER,by Ocean Vuong,3,2022-04-24
THE CANDY HOUSE,by Jennifer Egan,4,2022-04-24
THE PARIS APARTMENT,by Lucy Foley,5,2022-04-24
WHAT HAPPENED TO THE BENNETTS,by Lisa Scottoline,6,2022-04-24
THE MIDNIGHT LIBRARY,by Matt Haig,7,2022-04-24
THE RECOVERY AGENT,by Janet Evanovich,8,2022-04-24
THE DIAMOND EYE,by Kate Quinn,9,2022-04-24
TRUE BIZ,by Sara Novic,10,2022-04-24
THE LINCOLN HIGHWAY,by Amor Towles,11,2022-04-24
FRENCH BRAID,by Anne Tyler,12,2022-04-24
ONE ITALIAN SUMMER,by Rebecca Serle,13,2022-04-24
LESSONS IN CHEMISTRY,by Bonnie Garmus,14,2022-04-24
PORTRAIT OF A THIEF,by Grace D. Li,15,2022-04-24
THE INVESTIGATOR,by John Sandford,1,2022-05-01
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,2,2022-05-01
SEA OF TRANQUILITY,by Emily St. John Mandel,3,2022-05-01
THE PARIS APARTMENT,by Lucy Foley,4,2022-05-01
WHAT HAPPENED TO THE BENNETTS,by Lisa Scottoline,5,2022-05-01
THE SACRED BRIDGE,by Anne Hillerman,6,2022-05-01
THE MIDNIGHT LIBRARY,by Matt Haig,7,2022-05-01
TIME IS A MOTHER,by Ocean Vuong,8,2022-05-01
THE DIAMOND EYE,by Kate Quinn,9,2022-05-01
LESSONS IN CHEMISTRY,by Bonnie Garmus,10,2022-05-01
FRENCH BRAID,by Anne Tyler,11,2022-05-01
THE RECOVERY AGENT,by Janet Evanovich,12,2022-05-01
ONE ITALIAN SUMMER,by Rebecca Serle,13,2022-05-01
THE LINCOLN HIGHWAY,by Amor Towles,14,2022-05-01
THE CANDY HOUSE,by Jennifer Egan,15,2022-05-01
DREAM TOWN,by David Baldacci,1,2022-05-08
BEAUTIFUL,by Danielle Steel,2,2022-05-08
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,3,2022-05-08
THE INVESTIGATOR,by John Sandford,4,2022-05-08
KINGDOM OF BONES,by James Rollins,5,2022-05-08
SEA OF TRANQUILITY,by Emily St. John Mandel,6,2022-05-08
THE PARIS APARTMENT,by Lucy Foley,7,2022-05-08
WHAT HAPPENED TO THE BENNETTS,by Lisa Scottoline,8,2022-05-08
THE MIDNIGHT LIBRARY,by Matt Haig,9,2022-05-08
THE MEMORY LIBRARIAN,by Janelle Monáe et al,10,2022-05-08
LESSONS IN CHEMISTRY,by Bonnie Garmus,11,2022-05-08
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-05-08
THE LINCOLN HIGHWAY,by Amor Towles,13,2022-05-08
THE DIAMOND EYE,by Kate Quinn,14,2022-05-08
THE CANDY HOUSE,by Jennifer Egan,15,2022-05-08
DREAM TOWN,by David Baldacci,1,2022-05-15
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,2,2022-05-15
CITY ON FIRE,by Don Winslow,3,2022-05-15
THE GOOD LEFT UNDONE,by Adriana Trigiani,4,2022-05-15
SEA OF TRANQUILITY,by Emily St. John Mandel,5,2022-05-15
THE INVESTIGATOR,by John Sandford,6,2022-05-15
THE PARIS APARTMENT,by Lucy Foley,7,2022-05-15
THE MIDNIGHT LIBRARY,by Matt Haig,8,2022-05-15
LESSONS IN CHEMISTRY,by Bonnie Garmus,9,2022-05-15
WHAT HAPPENED TO THE BENNETTS,by Lisa Scottoline,10,2022-05-15
BEAUTIFUL,by Danielle Steel,11,2022-05-15
THE BAXTERS,by Karen Kingsbury,12,2022-05-15
ONE ITALIAN SUMMER,by Rebecca Serle,13,2022-05-15
KAIKEYI,by Vaishnavi Patel,14,2022-05-15
THE LINCOLN HIGHWAY,by Amor Towles,15,2022-05-15
22 SECONDS,by James Patterson and Maxine Paetro,1,2022-05-22
BOOK OF NIGHT,by Holly Black,2,2022-05-22
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,3,2022-05-22
DREAM TOWN,by David Baldacci,4,2022-05-22
THE HOMEWRECKERS,by Mary Kay Andrews,5,2022-05-22
THE PARIS APARTMENT,by Lucy Foley,6,2022-05-22
SEA OF TRANQUILITY,by Emily St. John Mandel,7,2022-05-22
THE MIDNIGHT LIBRARY,by Matt Haig,8,2022-05-22
THE INVESTIGATOR,by John Sandford,9,2022-05-22
THE LAST THING HE TOLD ME,by Laura Dave,10,2022-05-22
LESSONS IN CHEMISTRY,by Bonnie Garmus,11,2022-05-22
ONE ITALIAN SUMMER,by Rebecca Serle,12,2022-05-22
BEAUTIFUL,by Danielle Steel,13,2022-05-22
CITY ON FIRE,by Don Winslow,14,2022-05-22
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,15,2022-05-22
22 SECONDS,by James Patterson and Maxine Paetro,1,2022-05-29
THE SUMMER PLACE,by Jennifer Weiner,2,2022-05-29
DREAM TOWN,by David Baldacci,3,2022-05-29
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,4,2022-05-29
BOOK OF NIGHT,by Holly Black,5,2022-05-29
THE LIONESS,by Chris Bohjalian,6,2022-05-29
THE PARIS APARTMENT,by Lucy Foley,7,2022-05-29
THE HOMEWRECKERS,by Mary Kay Andrews,8,2022-05-29
THE MIDNIGHT LIBRARY,by Matt Haig,9,2022-05-29
THE LAST THING HE TOLD ME,by Laura Dave,10,2022-05-29
STAR WARS: BROTHERHOOD,by Mike Chen,11,2022-05-29
THE INVESTIGATOR,by John Sandford,12,2022-05-29
SEA OF TRANQUILITY,by Emily St. John Mandel,13,2022-05-29
ONE ITALIAN SUMMER,by Rebecca Serle,14,2022-05-29
THE RAVAGED,by Norman Reedus with Frank Bill,15,2022-05-29
IN THE BLOOD,by Jack Carr,1,2022-06-05
22 SECONDS,by James Patterson and Maxine Paetro,2,2022-06-05
THIS TIME TOMORROW,by Emma Straub,3,2022-06-05
DREAM TOWN,by David Baldacci,4,2022-06-05
THE SUMMER PLACE,by Jennifer Weiner,5,2022-06-05
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,6,2022-06-05
SOMETHING WILDER,by Christina Lauren,7,2022-06-05
THE MIDNIGHT LIBRARY,by Matt Haig,8,2022-06-05
THE PARIS APARTMENT,by Lucy Foley,9,2022-06-05
BOOK OF NIGHT,by Holly Black,10,2022-06-05
THE LAST THING HE TOLD ME,by Laura Dave,11,2022-06-05
THE ISLAND,by Adrian McKinty,12,2022-06-05
THE HOMEWRECKERS,by Mary Kay Andrews,13,2022-06-05
RAZZMATAZZ,by Christopher Moore,14,2022-06-05
THE LOST SUMMERS OF NEWPORT,"Beatriz Williams, Lauren Willig and Karen White",15,2022-06-05
NIGHTWORK,by Nora Roberts,1,2022-06-12
THE SUMMER PLACE,by Jennifer Weiner,2,2022-06-12
22 SECONDS,by James Patterson and Maxine Paetro,3,2022-06-12
DREAM TOWN,by David Baldacci,4,2022-06-12
CLIVE CUSSLER'S DARK VECTOR,by Graham Brown,5,2022-06-12
THIS TIME TOMORROW,by Emma Straub,6,2022-06-12
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,7,2022-06-12
IN THE BLOOD,by Jack Carr,8,2022-06-12
TWO NIGHTS IN LISBON,by Chris Pavone,9,2022-06-12
THE MIDNIGHT LIBRARY,by Matt Haig,10,2022-06-12
THE PARIS APARTMENT,by Lucy Foley,11,2022-06-12
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-06-12
EITHER/OR,by Elif Batuman,13,2022-06-12
BOOK OF NIGHT,by Holly Black,14,2022-06-12
THE HOMEWRECKERS,by Mary Kay Andrews,15,2022-06-12
SPARRING PARTNERS,by John Grisham,1,2022-06-19
MEANT TO BE,by Emily Giffin,2,2022-06-19
NIGHTWORK,by Nora Roberts,3,2022-06-19
22 SECONDS,by James Patterson and Maxine Paetro,4,2022-06-19
THE SUMMER PLACE,by Jennifer Weiner,5,2022-06-19
THE MIDNIGHT LIBRARY,by Matt Haig,6,2022-06-19
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,7,2022-06-19
DREAM TOWN,by David Baldacci,8,2022-06-19
THIS TIME TOMORROW,by Emma Straub,9,2022-06-19
ONE ITALIAN SUMMER,by Rebecca Serle,10,2022-06-19
THE LAST THING HE TOLD ME,by Laura Dave,11,2022-06-19
THE PARIS APARTMENT,by Lucy Foley,12,2022-06-19
LESSONS IN CHEMISTRY,by Bonnie Garmus,13,2022-06-19
THE HOMEWRECKERS,by Mary Kay Andrews,14,2022-06-19
BOOK OF NIGHT,by Holly Black,15,2022-06-19
SPARRING PARTNERS,by John Grisham,1,2022-06-26
TOM CLANCY: ZERO HOUR,by Don Bentley,2,2022-06-26
MEANT TO BE,by Emily Giffin,3,2022-06-26
NIGHTWORK,by Nora Roberts,4,2022-06-26
COUNTERFEIT,by Kirstin Chen,5,2022-06-26
THE OMEGA FACTOR,by Steve Berry,6,2022-06-26
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,7,2022-06-26
NIGHTCRAWLING,by Leila Mottley,8,2022-06-26
22 SECONDS,by James Patterson and Maxine Paetro,9,2022-06-26
THE MIDNIGHT LIBRARY,by Matt Haig,10,2022-06-26
THE SUMMER PLACE,by Jennifer Weiner,11,2022-06-26
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-06-26
ONE ITALIAN SUMMER,by Rebecca Serle,13,2022-06-26
DREAM TOWN,by David Baldacci,14,2022-06-26
THE PARIS APARTMENT,by Lucy Foley,15,2022-06-26
THE HOTEL NANTUCKET,by Elin Hilderbrand,1,2022-07-03
SPARRING PARTNERS,by John Grisham,2,2022-07-03
HORSE,by Geraldine Brooks,3,2022-07-03
MEANT TO BE,by Emily Giffin,4,2022-07-03
THE MIDNIGHT LIBRARY,by Matt Haig,5,2022-07-03
THE LAST THING HE TOLD ME,by Laura Dave,6,2022-07-03
TOM CLANCY: ZERO HOUR,by Don Bentley,7,2022-07-03
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,8,2022-07-03
DREAM TOWN,by David Baldacci,9,2022-07-03
THE SUMMER PLACE,by Jennifer Weiner,10,2022-07-03
THE PARIS APARTMENT,by Lucy Foley,11,2022-07-03
NIGHTWORK,by Nora Roberts,12,2022-07-03
22 SECONDS,by James Patterson and Maxine Paetro,13,2022-07-03
LESSONS IN CHEMISTRY,by Bonnie Garmus,14,2022-07-03
ONE ITALIAN SUMMER,by Rebecca Serle,15,2022-07-03
THE HOTEL NANTUCKET,by Elin Hilderbrand,1,2022-07-10
SPARRING PARTNERS,by John Grisham,2,2022-07-10
THE HOUSE ACROSS THE LAKE,by Riley Sager,3,2022-07-10
ESCAPE,by James Patterson and David Ellis,4,2022-07-10
LAPVONA,by Ottessa Moshfegh,5,2022-07-10
THE MIDNIGHT LIBRARY,by Matt Haig,6,2022-07-10
THE LAST THING HE TOLD ME,by Laura Dave,7,2022-07-10
MEANT TO BE,by Emily Giffin,8,2022-07-10
HORSE,by Geraldine Brooks,9,2022-07-10
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,10,2022-07-10
LESSONS IN CHEMISTRY,by Bonnie Garmus,11,2022-07-10
THE LIES I TELL,by Julie Clark,12,2022-07-10
TOM CLANCY: ZERO HOUR,by Don Bentley,13,2022-07-10
NIGHTWORK,by Nora Roberts,14,2022-07-10
THE PARIS APARTMENT,by Lucy Foley,15,2022-07-10
THE HOTEL NANTUCKET,by Elin Hilderbrand,1,2022-07-17
SPARRING PARTNERS,by John Grisham,2,2022-07-17
SUSPECTS,by Danielle Steel,3,2022-07-17
THE HOUSE ACROSS THE LAKE,by Riley Sager,4,2022-07-17
ESCAPE,by James Patterson and David Ellis,5,2022-07-17
THE MEASURE,by Nikki Erlick,6,2022-07-17
THE MIDNIGHT LIBRARY,by Matt Haig,7,2022-07-17
LESSONS IN CHEMISTRY,by Bonnie Garmus,8,2022-07-17
THE LAST THING HE TOLD ME,by Laura Dave,9,2022-07-17
HORSE,by Geraldine Brooks,10,2022-07-17
STAR WARS: SHADOW OF THE SITH,by Adam Christopher,11,2022-07-17
MEANT TO BE,by Emily Giffin,12,2022-07-17
"RUN, ROSE, RUN",by Dolly Parton and James Patterson,13,2022-07-17
THE PARIS APARTMENT,by Lucy Foley,14,2022-07-17
LAPVONA,by Ottessa Moshfegh,15,2022-07-17
THE HOTEL NANTUCKET,by Elin Hilderbrand,1,2022-07-24
RISING TIGER,by Brad Thor,2,2022-07-24
"TOMORROW, AND TOMORROW, AND TOMORROW",by Gabrielle Zevin,3,2022-07-24
SPARRING PARTNERS,by John Grisham,4,2022-07-24
THE MIDNIGHT LIBRARY,by Matt Haig,5,2022-07-24
LESSONS IN CHEMISTRY,by Bonnie Garmus,6,2022-07-24
SUSPECTS,by Danielle Steel,7,2022-07-24
ESCAPE,by James Patterson and David Ellis,8,2022-07-24
THE LAST THING HE TOLD ME,by Laura Dave,9,2022-07-24
THE HOUSE ACROSS THE LAKE,by Riley Sager,10,2022-07-24
THE MEASURE,by Nikki Erlick,11,2022-07-24
HORSE,by Geraldine Brooks,12,2022-07-24
THE PARIS APARTMENT,by Lucy Foley,13,2022-07-24
MEANT TO BE,by Emily Giffin,14,2022-07-24
ONE ITALIAN SUMMER,by Rebecca Serle,15,2022-07-24
THE 6:20 MAN,by David Baldacci,1,2022-07-31
THE IT GIRL,by Ruth Ware,2,2022-07-31
THE HOTEL NANTUCKET,by Elin Hilderbrand,3,2022-07-31
SPARRING PARTNERS,by John Grisham,4,2022-07-31
"TOMORROW, AND TOMORROW, AND TOMORROW",by Gabrielle Zevin,5,2022-07-31
UPGRADE,by Blake Crouch,6,2022-07-31
RISING TIGER,by Brad Thor,7,2022-07-31
THE LAST THING HE TOLD ME,by Laura Dave,8,2022-07-31
THE MIDNIGHT LIBRARY,by Matt Haig,9,2022-07-31
HORSE,by Geraldine Brooks,10,2022-07-31
THE BEST IS YET TO COME,by Debbie Macomber,11,2022-07-31
LESSONS IN CHEMISTRY,by Bonnie Garmus,12,2022-07-31
THE HOUSE ACROSS THE LAKE,by Riley Sager,13,2022-07-31
ESCAPE,by James Patterson and David Ellis,14,2022-07-31
WHERE THE CRAWDADS SING,by Delia Owens,15,2022-07-31
PORTRAIT OF AN UNKNOWN WOMAN,by Daniel Silva,1,2022-08-07
THE 6:20 MAN,by David Baldacci,2,2022-08-07
SHATTERED,by James Patterson and James O. Born,3,2022-08-07
THE HOTEL NANTUCKET,by Elin Hilderbrand,4,2022-08-07
THE IT GIRL,by Ruth Ware,5,2022-08-07
SPARRING PARTNERS,by John Grisham,6,2022-08-07
"TOMORROW, AND TOMORROW, AND TOMORROW",by Gabrielle Zevin,7,2022-08-07
LESSONS IN CHEMISTRY,by Bonnie Garmus,8,2022-08-07
THE MIDNIGHT LIBRARY,by Matt Haig,9,2022-08-07
RISING TIGER,by Brad Thor,10,2022-08-07
THE BODYGUARD,by Katherine Center,11,2022-08-07
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-08-07
THE RETREAT,by Sarah Pearse,13,2022-08-07
HORSE,by Geraldine Brooks,14,2022-08-07
THE DAUGHTER OF DOCTOR MOREAU,by Silvia Moreno-Garcia,15,2022-08-07
THE 6:20 MAN,by David Baldacci,1,2022-08-14
PORTRAIT OF AN UNKNOWN WOMAN,by Daniel Silva,2,2022-08-14
THE HOTEL NANTUCKET,by Elin Hilderbrand,3,2022-08-14
THE IT GIRL,by Ruth Ware,4,2022-08-14
SHATTERED,by James Patterson and James O. Born,5,2022-08-14
